settlement,population_2015_01_01
Aba,4426
Abaliget,650
Abasár,2538
Abaújalpár,66
Abaújkér,631
Abaújlak,70
Abaújszolnok,183
Abaújszántó,3062
Abaújvár,250
Abda,3117
Abod,231
Abony,14563
Abádszalók,4279
Acsa,1416
Acsalag,493
Acsád,651
Adony,3679
Adorjánháza,362
Adorjás,180
Adács,2642
Adásztevel,795
Aggtelek,557
Agyagosszergény,936
Ajak,3730
Ajka,28487
Aka,243
Akasztó,3333
Alacska,778
Alap,1907
Alattyán,1989
Albertirsa,12212
Alcsútdoboz,1452
Aldebrő,718
Algyő,5088
Alibánfa,394
Almamellék,381
Almásfüzitő,2047
Almásháza,70
Almáskamarás,886
Almáskeresztúr,81
Alsóberecki,705
Alsóbogát,239
Alsódobsza,287
Alsógagy,87
Alsómocsolád,283
Alsónemesapáti,654
Alsónyék,760
Alsónána,700
Alsónémedi,5205
Alsópetény,550
Alsópáhok,1307
Alsórajk,341
Alsóregmec,178
Alsószenterzsébet,48
Alsószentiván,645
Alsószentmárton,1247
Alsószuha,423
Alsószölnök,368
Alsótelekes,139
Alsótold,229
Alsóvadász,1511
Alsózsolca,5683
Alsóörs,1631
Alsóújlak,594
Ambrózfalva,508
Anarcs,1943
Andocs,1078
Andornaktálya,2604
Andrásfa,236
Annavölgy,927
Apagy,2309
Apaj,1206
Aparhant,1009
Apc,2453
Apostag,2010
Apácatorna,166
Apátfalva,2920
Apátistvánfalva,377
Apátvarasd,129
Aranyosapáti,2047
Aranyosgadány,369
Arka,54
Arló,3798
Arnót,2420
Aszaló,1843
Aszód,6162
Aszófő,389
Atkár,1715
Attala,820
Babarc,708
Babarcszőlős,109
Babosdöbréte,473
Babócsa,1510
Babót,1128
Badacsonytomaj,2150
Badacsonytördemic,878
Bag,3584
Bagamér,2540
Baglad,38
Bagod,1270
Baj,2779
Baja,35718
Bajna,1935
Bajánsenye,487
Bajót,1602
Bak,1578
Bakháza,184
Bakonszeg,1194
Bakonya,322
Bakonybánk,439
Bakonybél,1221
Bakonycsernye,2952
Bakonygyirót,139
Bakonyjákó,630
Bakonykoppány,194
Bakonykúti,131
Bakonynána,1009
Bakonyoszlop,420
Bakonypéterd,284
Bakonypölöske,375
Bakonyszentiván,232
Bakonyszentkirály,839
Bakonyszentlászló,1753
Bakonyszombathely,1453
Bakonyszücs,299
Bakonyság,44
Bakonysárkány,956
Bakonytamási,635
Baks,1977
Baksa,745
Baktakék,724
Baktalórántháza,3987
Baktüttös,352
Bakóca,269
Balajt,487
Balassagyarmat,15570
Balaton,1053
Balatonakali,658
Balatonakarattya,835
Balatonalmádi,8535
Balatonberény,1081
Balatonboglár,5798
Balatoncsicsó,220
Balatonederics,1018
Balatonendréd,1311
Balatonfenyves,1833
Balatonföldvár,2195
Balatonfüred,13224
Balatonfőkajár,1300
Balatonfűzfő,4142
Balatongyörök,1030
Balatonhenye,130
Balatonkenese,2576
Balatonkeresztúr,1504
Balatonlelle,5223
Balatonmagyaród,427
Balatonmáriafürdő,700
Balatonrendes,121
Balatonszabadi,2965
Balatonszemes,1763
Balatonszentgyörgy,1584
Balatonszepezd,368
Balatonszárszó,1947
Balatonszőlős,624
Balatonudvari,301
Balatonvilágos,1153
Balatonújlak,458
Balatonőszöd,502
Balinka,891
Balkány,6392
Ballószög,3459
Balmazújváros,17448
Balogunyom,1106
Balotaszállás,1483
Balsa,838
Balástya,3436
Bana,1629
Barabás,916
Baracs,3362
Baracska,2670
Baranyahídvég,178
Baranyajenő,412
Baranyaszentgyörgy,154
Barbacs,731
Barcs,10858
Barlahida,109
Barnag,128
Basal,167
Baskó,181
Battonya,5960
Batyk,373
Baté,809
Bazsi,398
Becsehely,2069
Becske,530
Becskeháza,27
Becsvölgye,770
Bedegkér,412
Bedő,291
Bejcgyertyános,438
Bekecs,2485
Bekölce,591
Belecska,365
Beled,2640
Beleg,601
Belezna,733
Beloiannisz,1029
Belsősárd,94
Belvárdgyula,403
Benk,418
Bercel,2044
Beregdaróc,950
Beregsurány,814
Berekböszörmény,1923
Berekfürdő,1010
Beremend,2428
Berente,1211
Beret,274
Berettyóújfalu,15008
Berhida,5833
Berkenye,602
Berkesd,863
Berkesz,834
Bernecebaráti,898
Berzence,2574
Berzék,1096
Besence,107
Besenyszög,3276
Besenyőd,722
Besenyőtelek,2588
Besnyő,1691
Beszterec,1043
Bezedek,223
Bezenye,1302
Bezeréd,126
Bezi,517
Biatorbágy,12767
Bicske,11891
Bicsérd,1003
Bihardancsháza,172
Biharkeresztes,4149
Biharnagybajom,2824
Bihartorda,941
Biharugra,945
